FID,BPUIC,BEZEICHNUN,GEMEINDENA,BFS_NUMMER,KANTONSKUE,E_WGS84,N_WGS84
645,8583618,"Flawil, Bahnhofstrasse",Flawil,3402,SG,9.188142870000000,47.414207300000001
646,8531307,Amden Arvenbühl,Amden,3311,SG,9.179564950000000,47.146594980000003
647,8506630,"Niederhelfenschwil, Sonnenberg",Niederhelfenschwil,3423,SG,9.198684300000000,47.482104229999997
648,8502523,"Flawil, Glatthalde",Flawil,3402,SG,9.200488719999999,47.412004529999997
649,8506292,Degersheim,Degersheim,3401,SG,9.200279999999999,47.372479990000002
650,8574185,"St. Peterzell, Schönenbühl",Neckertal,3378,SG,9.200552860000000,47.319825020000003
651,8502520,"Flawil, Oberglatt",Flawil,3402,SG,9.206353440000001,47.411411160000000
652,8506253,"Niederwil SG, Wiesental",Oberbüren,3424,SG,9.210360639999999,47.431069909999998
653,8574186,"St. Peterzell, Stafel",Neckertal,3378,SG,9.209548630000000,47.324581449999997
654,8506219,Burgau Deponie ZAB (Agl),Flawil,3402,SG,9.214846000000000,47.407421270000000
655,8586755,36 PU PAUT Schönengrund,Neckertal,3378,SG,9.219731400000001,47.327705639999998
656,8574044,"Ennetbühl, Gillsäge",Nesslau,3360,SG,9.218251009999999,47.241191090000001
657,8506252,"Gossau SG, Degenau",Gossau (SG),3443,SG,9.225648910000000,47.424015269999998
658,8530661,Quinten,Quarten,3295,SG,9.216007800000000,47.128906819999997
659,8506587,"Niederbüren, Museum",Niederbüren,3422,SG,9.231096689999999,47.473599929999999
660,8530662,Quinten Au,Quarten,3295,SG,9.229434610000000,47.129490140000001
661,8590321,"Gossau SG, Geissberg",Gossau (SG),3443,SG,9.252385940000000,47.408034760000000
662,8509416,Unterterzen,Quarten,3295,SG,9.255018379999999,47.113856859999999
663,8509450,Unterterzen (Talstation),Quarten,3295,SG,9.255108419999999,47.113342009999997
664,8531156,Flumserberg Stelli,Quarten,3295,SG,9.254469120000000,47.075446399999997
665,8590334,"Gossau SG, Vogelsangweg",Gossau (SG),3443,SG,9.269879550000001,47.416908339999999
666,8506789,"Andwil SG, Post",Andwil (SG),3441,SG,9.270682980000000,47.439099079999998
667,8531472,Panüöl,Flums,3292,SG,9.257808280000001,47.061690519999999
