BPUIC;BEZEICHNUNG_OFFIZIELL;GEMEINDENAME;BFS_NUMMER;KANTONSKUERZEL;E_WGS84;N_WGS84
8519370;Bernina Diavolezza;Pontresina;3784.0;GR;9.982289999999999;46.441790000000005
8509357;Alp Grüm;Poschiavo;3561.0;GR;10.031139999999999;46.37474999
8509358;Cavaglia;Poschiavo;3561.0;GR;10.044139999999999;46.36432
8509363;Li Curt;Poschiavo;3561.0;GR;10.06319999;46.31119
8509269;Sagliains;Zernez;3746.0;GR;10.09657999;46.76340001
8509367;Campascio;Brusio;3551.0;GR;10.13169001;46.24467
8509368;Campocologno;Brusio;3551.0;GR;10.14206001;46.23322
8501002;Russin;Russin;6637.0;GE;6.01803596;46.18839513
8501003;Satigny;Satigny;6638.0;GE;6.03766521;46.21422723
8501006;Meyrin;Meyrin;6630.0;GE;6.0769008;46.22233545
8501060;La Cure;Saint-Cergue;5727.0;VD;6.07357001;46.46515
